N,n,seed_a,seed_b,d_l2
24,0.8,84000,84001,0.0003974123485631591
24,0.8,84000,84002,0.001030180939154709
24,0.8,84000,84003,0.0003442708472462322
24,0.8,84000,84004,0.0006715016603700373
24,0.8,84000,84005,0.0008355194970909156
24,0.8,84000,84006,0.0004496373335563623
24,0.8,84000,84007,0.00025601768326260826
24,0.8,84000,84008,0.0008538468541695683
24,0.8,84000,84009,0.0008808454744705593
24,0.8,84000,84010,0.0015787741496730867
24,0.8,84000,84011,0.0010677560040624208
24,0.8,84000,84012,0.0003833192920481675
24,0.8,84000,84013,0.0017989143446614933
24,0.8,84000,84014,0.0005768384869155198
24,0.8,84000,84015,0.000723711886302976
24,0.8,84000,84016,0.0006583862403282568
24,0.8,84000,84017,0.0008457846260824988
24,0.8,84000,84018,0.00028062878911978747
24,0.8,84000,84019,0.0008721073902804747
24,0.8,84001,84002,0.0006731179877290462
24,0.8,84001,84003,0.0005436139960650144
24,0.8,84001,84004,0.000940267908083409
24,0.8,84001,84005,0.0012272683850285734
24,0.8,84001,84006,0.00029904161799573325
24,0.8,84001,84007,0.00028046905940712786
24,0.8,84001,84008,0.0011040670160974253
24,0.8,84001,84009,0.0012409675626456537
24,0.8,84001,84010,0.001869603088327292
24,0.8,84001,84011,0.0013472781248423634
24,0.8,84001,84012,0.0006656815487282899
24,0.8,84001,84013,0.0021415283368589125
24,0.8,84001,84014,0.0007793398651908473
24,0.8,84001,84015,0.00038460829456351804
24,0.8,84001,84016,0.00034425795625836285
24,0.8,84001,84017,0.001200334774516714
24,0.8,84001,84018,0.0003791681019654563
24,0.8,84001,84019,0.0005403703142587713
24,0.8,84002,84003,0.0012102100491593545
24,0.8,84002,84004,0.0016082479719076398
24,0.8,84002,84005,0.0018511110431753623
24,0.8,84002,84006,0.0008677805391583661
24,0.8,84002,84007,0.0008159854657560851
24,0.8,84002,84008,0.0017582081540981297
24,0.8,84002,84009,0.001899969317364133
24,0.8,84002,84010,0.0025350970539731355
24,0.8,84002,84011,0.0020088515328242898
24,0.8,84002,84012,0.0013356269517298077
24,0.8,84002,84013,0.002809750008864944
24,0.8,84002,84014,0.0014400627009812815
24,0.8,84002,84015,0.0006514558446391488
24,0.8,84002,84016,0.0007163747009845789
24,0.8,84002,84017,0.0018633059247894633
24,0.8,84002,84018,0.001024644901342416
24,0.8,84002,84019,0.0002354189902616061
24,0.8,84003,84004,0.0004039436235521613
24,0.8,84003,84005,0.0008419147781968656
24,0.8,84003,84006,0.0004093537934495217
24,0.8,84003,84007,0.0005494605013100538
24,0.8,84003,84008,0.0005737311214737574
24,0.8,84003,84009,0.0007535108594591566
24,0.8,84003,84010,0.0013294273436217847
24,0.8,84003,84011,0.0008087663431971728
24,0.8,84003,84012,0.0001694273062912355
24,0.8,84003,84013,0.0016260456375712638
24,0.8,84003,84014,0.0002564800849953665
24,0.8,84003,84015,0.0007205593654195434
24,0.8,84003,84016,0.0006358590284899817
24,0.8,84003,84017,0.0007219737012416191
24,0.8,84003,84018,0.00023299819934064755
24,0.8,84003,84019,0.0010634768044354662
24,0.8,84004,84005,0.0006787208680289302
24,0.8,84004,84006,0.0007823937243217399
24,0.8,84004,84007,0.0009024603244052742
24,0.8,84004,84008,0.00022343664727738708
24,0.8,84004,84009,0.0004458608713713248
24,0.8,84004,84010,0.0009322811407812056
24,0.8,84004,84011,0.0004172122903788042
24,0.8,84004,84012,0.00030445101199602344
24,0.8,84004,84013,0.0012466239609895016
24,0.8,84004,84014,0.00021837266164137563
24,0.8,84004,84015,0.0010885857555180249
24,0.8,84004,84016,0.000999890113777256
24,0.8,84004,84017,0.0004344486882603724
24,0.8,84004,84018,0.0006057952684161764
24,0.8,84004,84019,0.0014608071019397875
24,0.8,84005,84006,0.001199234466372864
24,0.8,84005,84007,0.0010447581110449731
24,0.8,84005,84008,0.0007857892464286799
24,0.8,84005,84009,0.00035759453965174715
24,0.8,84005,84010,0.0010924243976700432
24,0.8,84005,84011,0.0007820027970380019
24,0.8,84005,84012,0.0006924842105771211
24,0.8,84005,84013,0.0011084791495298769
24,0.8,84005,84014,0.0008130912423583574
24,0.8,84005,84015,0.0015193623250544207
24,0.8,84005,84016,0.0014415934862137833
24,0.8,84005,84017,0.00034392207627902496
24,0.8,84005,84018,0.0009674333499552255
24,0.8,84005,84019,0.0016826949942765218
24,0.8,84006,84007,0.0004737468695041586
24,0.8,84006,84008,0.00090398557333334
24,0.8,84006,84009,0.0011342773883987703
24,0.8,84006,84010,0.0016920788626295996
24,0.8,84006,84011,0.00116093720354971
24,0.8,84006,84012,0.0005539584681711763
24,0.8,84006,84013,0.00202286012606028
24,0.8,84006,84014,0.0006193736766629739
24,0.8,84006,84015,0.00033491658329253845
24,0.8,84006,84016,0.0002748497079272978
24,0.8,84006,84017,0.0011203885411632181
24,0.8,84006,84018,0.00023910827040382135
24,0.8,84006,84019,0.0007301348272839518
24,0.8,84007,84008,0.0010815614612019943
24,0.8,84007,84009,0.0011133891014289846
24,0.8,84007,84010,0.0018155693695899912
24,0.8,84007,84011,0.001304086665210339
24,0.8,84007,84012,0.0006198649433256831
24,0.8,84007,84013,0.002028100698353268
24,0.8,84007,84014,0.0007879315467219975
24,0.8,84007,84015,0.0006449789844381127
24,0.8,84007,84016,0.0005969328414282177
24,0.8,84007,84017,0.0010763245408571009
24,0.8,84007,84018,0.0004216462331282813
24,0.8,84007,84019,0.0006790697693651198
24,0.8,84008,84009,0.00047944708796390616
24,0.8,84008,84010,0.0007992020670075356
24,0.8,84008,84011,0.0002644525588105498
24,0.8,84008,84012,0.0004933452252896167
24,0.8,84008,84013,0.0011826806760932302
24,0.8,84008,84014,0.00038426679195429053
24,0.8,84008,84015,0.0012030592500584067
24,0.8,84008,84016,0.00112022514030022
24,0.8,84008,84017,0.0005289328485459223
24,0.8,84008,84018,0.0007495479938770688
24,0.8,84008,84019,0.0016083595252593666
24,0.8,84009,84010,0.0007956665905135633
24,0.8,84009,84011,0.00043738934709157764
24,0.8,84009,84012,0.0006053223535074087
24,0.8,84009,84013,0.0009478901069440302
24,0.8,84009,84014,0.0006384998582875598
24,0.8,84009,84015,0.0014600415342955213
24,0.8,84009,84016,0.0013756518791910959
24,0.8,84009,84017,0.00018684437357898657
24,0.8,84009,84018,0.0009192732548787496
24,0.8,84009,84019,0.001738104186115732
24,0.8,84010,84011,0.0005416361397690405
24,0.8,84010,84012,0.0012188536123397323
