N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
12,0.8,74000,170048,34668,0,0,34668,1.8352840883589328,0.5298008812267334,0.9477911646586346,4.467921314375631,True,20
12,0.8,74001,170153,34910,0,0,34910,1.732635811962281,0.5001688762220043,0.9841897233201581,4.616683329715717,True,20
12,0.8,74002,170092,34861,0,0,34861,1.9925577666073522,0.5752018814633172,0.9678714859437751,4.736320314635632,True,20
12,0.8,74003,170124,34876,0,0,34876,0.7279286967107835,0.21013491449841218,0.9739776951672863,4.498967797872086,True,20
12,0.8,74004,170051,34841,0,0,34841,1.1135780447580228,0.3214622919523508,0.9459459459459459,4.556561083810933,True,20
16,0.8,74000,224142,46245,2973,23,46245,4.342861827986751,1.0857154569966878,0.9662576687116564,5.1252394118675255,True,20
16,0.8,74001,220406,46725,6699,57,46725,1.8343266564807423,0.4585816641201856,0.9854227405247813,4.874406905354824,True,20
16,0.8,74002,220422,46291,6707,96,46291,4.3728604670761975,1.0932151167690494,0.9840255591054313,5.365288661202295,True,20
16,0.8,74003,220404,46264,6687,35,46264,4.3341806435860555,1.0835451608965139,0.9879518072289156,5.007562674491177,True,20
16,0.8,74004,224187,46415,2973,15,46415,0.22253465954347992,0.05563366488586998,0.9875776397515528,5.3568262568643625,True,20
20,0.8,74000,120525,46163,163563,11564,46160,4.802482919300999,1.073867826833867,0.9647058823529412,5.061648307144594,True,20
20,0.8,74001,170650,52814,113495,4737,52814,5.127650134275198,1.1465774265075266,0.975669099756691,4.926162605860335,True,20
20,0.8,74002,137755,50878,146387,7160,50877,4.716798930449538,1.0547083044683467,0.9779951100244498,5.277107013885815,True,20
20,0.8,74003,154913,51655,129198,6037,51655,0.15017842330813796,0.03358091632707353,0.9828009828009828,4.842531759453984,True,20
20,0.8,74004,139198,49977,144903,7820,49975,4.7924431252443895,1.0716228606347993,0.9802955665024631,5.326065487714201,True,20
24,0.8,74000,47978,32441,293112,36745,32441,5.482826721133537,1.119177317906177,0.9741035856573705,5.05674803920708,True,20
24,0.8,74001,42739,30350,298351,38474,30347,5.566343711628505,1.1362251522033058,0.9691991786447639,5.0624478206950485,True,20
24,0.8,74002,38992,29049,302141,40152,29048,1.3369274692529565,0.27289917689834914,0.9754601226993865,4.810660711512001,True,20
24,0.8,74003,38236,28217,302907,41457,28215,5.4282953565467915,1.1080461497215768,0.9751552795031055,4.975980421663167,True,20
24,0.8,74004,40482,30005,300602,39118,30003,5.22808147757264,1.0671776628124086,0.9808917197452229,5.459614683356826,True,20
28,0.8,74000,26989,22713,371161,57942,22713,5.663195747159169,1.070243398061556,0.9838998211091234,5.037130198524499,True,20
28,0.8,74001,23247,20005,374859,60746,20005,5.565832944469187,1.0518435578568457,0.9770318021201413,5.061860112848256,True,20
28,0.8,74002,22498,19445,375635,61143,19445,6.023431997567716,1.1383216503337992,0.987783595113438,5.191185987600188,True,20
28,0.8,74003,26247,21908,371853,58652,21908,5.780759504628281,1.0924608598799548,0.9895470383275261,5.227026360042101,True,20
28,0.8,74004,21751,18870,376390,61923,18868,5.66632516908937,1.070834803216892,0.9682539682539683,5.442016304197742,True,20
32,0.8,74000,18000,16285,437095,75682,16284,6.301047204492521,1.1138783017183,0.9802631578947368,5.8464736598073355,True,20
32,0.8,74001,18751,16852,436398,75318,16850,6.257189248204849,1.106125237143301,0.9711246200607903,4.670529529802811,True,20
32,0.8,74002,18747,16882,436379,75231,12793,6.23112640862336,1.101517934492039,0.9720496894409938,5.424485665167639,True,20
32,0.8,74003,17998,16195,437121,75835,16195,6.220193996425915,1.099585338792154,0.9724612736660929,5.81547340879709,True,20
32,0.8,74004,22499,19554,432665,73011,19554,6.143296009129413,1.0859915667229156,0.9722222222222222,5.277559578874942,True,20
40,0.8,74000,14250,13423,554860,101921,13423,6.748578850518247,1.0670440068439326,0.9748110831234257,5.354223440111767,True,20
40,0.8,74001,14250,13419,554838,102282,13419,6.699647846924638,1.0593073358662481,0.9700115340253749,4.805147959934548,True,20
40,0.8,74002,15748,14675,553341,100229,12549,6.788868372720301,1.0734143396438531,0.9842105263157894,5.721692356641417,True,20
40,0.8,74003,14251,13412,554915,101568,13412,7.13180020829436,1.1276366237736724,0.980440097799511,5.123142108750581,True,20
40,0.8,74004,14251,13464,554882,102022,13464,6.8799724526871495,1.0878191594853213,0.9807692307692307,4.7181368614486106,True,20
48,0.8,74000,14251,13594,668843,124938,13594,7.606091352144223,1.097844722410338,0.9744637385086823,5.077464319495484,True,20
48,0.8,74001,14250,13569,668886,124765,13569,7.543913551416981,1.088870129913465,0.9759665621734587,5.388604222401612,True,20
48,0.8,74002,14251,13582,668902,124236,13582,7.498014619108066,1.0822451896824479,0.9817629179331308,4.969696226458052,True,20
48,0.8,74003,14252,13550,668875,124344,13548,7.646921577255658,1.1037380577751281,0.9750778816199377,4.988272462966663,True,20
48,0.8,74004,15001,14183,668157,124644,14183,7.496765384502861,1.0820648781985487,0.9776119402985075,5.457151988168577,True,20
