N,n,seed_a,seed_b,d_l2
22,0.8,98000,98001,0.0008222268727021765
22,0.8,98000,98002,0.0009712001952918739
22,0.8,98000,98003,0.0011130756288984442
22,0.8,98000,98004,0.0002717111665175393
22,0.8,98000,98005,0.0016789709121362217
22,0.8,98000,98006,0.0010800416733564486
22,0.8,98000,98007,0.0011196295850551532
22,0.8,98000,98008,0.0004164611452772731
22,0.8,98000,98009,0.0003502425918584647
22,0.8,98000,98010,0.0009836437952723612
22,0.8,98000,98011,0.0004299983316752515
22,0.8,98000,98012,0.0018355676264986444
22,0.8,98000,98013,0.0017888814950293862
22,0.8,98000,98014,0.0015811596669616356
22,0.8,98000,98015,0.001171252739114378
22,0.8,98000,98016,0.0017671817472067978
22,0.8,98000,98017,0.0010950661084790261
22,0.8,98000,98018,0.0005665335936514623
22,0.8,98000,98019,0.0009027674410033215
22,0.8,98001,98002,0.0017082857878511954
22,0.8,98001,98003,0.0008947421563300027
22,0.8,98001,98004,0.000860484283881265
22,0.8,98001,98005,0.0012217531604962243
22,0.8,98001,98006,0.0005291614953705746
22,0.8,98001,98007,0.0005685922563852746
22,0.8,98001,98008,0.000597599808031075
22,0.8,98001,98009,0.0011526854088557683
22,0.8,98001,98010,0.0003684958782002338
22,0.8,98001,98011,0.0012032916214078225
22,0.8,98001,98012,0.0011252719082685536
22,0.8,98001,98013,0.00116168472281029
22,0.8,98001,98014,0.0008973407034792807
22,0.8,98001,98015,0.0005620326427354713
22,0.8,98001,98016,0.0009983434903323434
22,0.8,98001,98017,0.0002827788259018351
22,0.8,98001,98018,0.0010050784721958052
22,0.8,98001,98019,0.00018528755502597973
22,0.8,98002,98003,0.00205484412154905
22,0.8,98002,98004,0.0008566776501884209
22,0.8,98002,98005,0.0026366197754649962
22,0.8,98002,98006,0.002036528586974769
22,0.8,98002,98007,0.002079122224947899
22,0.8,98002,98008,0.0013738822749252827
22,0.8,98002,98009,0.0006432938081429233
22,0.8,98002,98010,0.001937235940957798
22,0.8,98002,98011,0.0005602488105452154
22,0.8,98002,98012,0.0027764692830482556
22,0.8,98002,98013,0.002752533715063112
22,0.8,98002,98014,0.0025311675078962597
22,0.8,98002,98015,0.002126850779340713
22,0.8,98002,98016,0.002666042693615863
22,0.8,98002,98017,0.001988750394099332
22,0.8,98002,98018,0.0007973535005356358
22,0.8,98002,98019,0.0018121102678845
22,0.8,98003,98004,0.0013304503977135797
22,0.8,98003,98005,0.000607573815790003
22,0.8,98003,98006,0.0004774110778292049
22,0.8,98003,98007,0.00046213010233778
22,0.8,98003,98008,0.0007614071643395873
22,0.8,98003,98009,0.001419271075094951
22,0.8,98003,98010,0.0005878700106134175
22,0.8,98003,98011,0.0015241918972052537
22,0.8,98003,98012,0.0010430401678826827
22,0.8,98003,98013,0.0008601103292676381
22,0.8,98003,98014,0.0008086332750255658
22,0.8,98003,98015,0.0005335753534300675
22,0.8,98003,98016,0.001178179681779283
22,0.8,98003,98017,0.0009012016964375118
22,0.8,98003,98018,0.001579062716983223
22,0.8,98003,98019,0.000780795819199578
22,0.8,98004,98005,0.0018654431939174494
22,0.8,98004,98006,0.00122014985888546
22,0.8,98004,98007,0.0012630745746120915
22,0.8,98004,98008,0.000609514447608139
22,0.8,98004,98009,0.00036997460808057696
22,0.8,98004,98010,0.0011026599815967318
22,0.8,98004,98011,0.0003696431747439511
22,0.8,98004,98012,0.0019463900455101077
22,0.8,98004,98013,0.0019340201028903699
22,0.8,98004,98014,0.0016992838211925027
22,0.8,98004,98015,0.001303988042282995
22,0.8,98004,98016,0.001834933146322843
22,0.8,98004,98017,0.0011412833953120386
22,0.8,98004,98018,0.000323927811679054
22,0.8,98004,98019,0.000973775117683957
22,0.8,98005,98006,0.0007070438850903567
22,0.8,98005,98007,0.0006611196056827206
22,0.8,98005,98008,0.0013071565973119652
22,0.8,98005,98009,0.002002685788469266
22,0.8,98005,98010,0.0008650635056655836
22,0.8,98005,98011,0.0021008720597350877
22,0.8,98005,98012,0.0006801712395878011
22,0.8,98005,98013,0.00040479899885715643
22,0.8,98005,98014,0.0005681060137242599
22,0.8,98005,98015,0.000671134933296178
22,0.8,98005,98016,0.0009561084978060185
22,0.8,98005,98017,0.0010801594025529255
22,0.8,98005,98018,0.002085207489778389
22,0.8,98005,98019,0.0010749773053500141
22,0.8,98006,98007,5.515978602395432e-05
22,0.8,98006,98008,0.0007401617662567733
22,0.8,98006,98009,0.0014226617944002662
22,0.8,98006,98010,0.00021629923531479297
22,0.8,98006,98011,0.0015062326196520924
22,0.8,98006,98012,0.0007755256003359938
22,0.8,98006,98013,0.0007228643346289689
22,0.8,98006,98014,0.000517476433047264
22,0.8,98006,98015,0.00012643893497970787
22,0.8,98006,98016,0.0007944148401764429
22,0.8,98006,98017,0.0004523460413372756
22,0.8,98006,98018,0.0014112002786565224
22,0.8,98006,98019,0.0003799502832938309
22,0.8,98007,98008,0.0007720705360114097
22,0.8,98007,98009,0.0014620208167816385
22,0.8,98007,98010,0.00024057389694385643
22,0.8,98007,98011,0.0015460795128488301
22,0.8,98007,98012,0.000743577474266244
22,0.8,98007,98013,0.0006781467827906688
22,0.8,98007,98014,0.00048298586203160117
22,0.8,98007,98015,0.00011152054556936161
22,0.8,98007,98016,0.000781325407267588
22,0.8,98007,98017,0.00047745586150986773
22,0.8,98007,98018,0.0014578652400504628
22,0.8,98007,98019,0.0004227862099416049
22,0.8,98008,98009,0.000741285420815557
22,0.8,98008,98010,0.0006361724721749965
22,0.8,98008,98011,0.0008224510305768106
22,0.8,98008,98012,0.001498418826843479
22,0.8,98008,98013,0.00141888204965891
22,0.8,98008,98014,0.0012362366183616288
22,0.8,98008,98015,0.0008265043544602357
22,0.8,98008,98016,0.0014758271776103536
22,0.8,98008,98017,0.0008255333171527701
22,0.8,98008,98018,0.0008996066291529288
22,0.8,98008,98019,0.0006488775201814257
22,0.8,98009,98010,0.0013289427877775963
22,0.8,98009,98011,0.00014525115170632623
22,0.8,98009,98012,0.002178994045731317
22,0.8,98009,98013,0.002129824976315214
22,0.8,98009,98014,0.0019264529803900976
22,0.8,98009,98015,0.0015152939998725867
22,0.8,98009,98016,0.00210539074089932
22,0.8,98009,98017,0.001430306216686083
22,0.8,98009,98018,0.000558900855528629
22,0.8,98009,98019,0.0012410882430560087
22,0.8,98010,98011,0.0014033819112472185
22,0.8,98010,98012,0.0008752885101020444
22,0.8,98010,98013,0.000842642550101191
22,0.8,98010,98014,0.0006207858994770477
22,0.8,98010,98015,0.00023481183329175962
22,0.8,98010,98016,0.0008542397251515542
22,0.8,98010,98017,0.0003279775560928328
22,0.8,98010,98018,0.0013006035359497247
22,0.8,98010,98019,0.0002646827043295752
22,0.8,98011,98012,0.0022582020048623045
22,0.8,98011,98013,0.0022164888129488905
22,0.8,98011,98014,0.0020047672677012667
22,0.8,98011,98015,0.0015975341122813481
22,0.8,98011,98016,0.0021720351296105524
22,0.8,98011,98017,0.0014840882012683867
22,0.8,98011,98018,0.0005105218729451514
22,0.8,98011,98019,0.0013053550814843505
22,0.8,98012,98013,0.00031652415736204646
22,0.8,98012,98014,0.00027287521070536093
22,0.8,98012,98015,0.0006746298404448026
22,0.8,98012,98016,0.0003421483863032672
22,0.8,98012,98017,0.0008715091126481455
22,0.8,98012,98018,0.0020943283618455977
22,0.8,98012,98019,0.000981816021844273
22,0.8,98013,98014,0.00031320509376361216
22,0.8,98013,98015,0.0006354217217157386
22,0.8,98013,98016,0.0006298766004919652
22,0.8,98013,98017,0.000944970791427814
22,0.8,98013,98018,0.0021218402894226038
22,0.8,98013,98019,0.0010200530555153926
22,0.8,98014,98015,0.00041781793726354186
22,0.8,98014,98016,0.0004186596736398707
22,0.8,98014,98017,0.0006650942066102107
22,0.8,98014,98018,0.001863292184377198
22,0.8,98014,98019,0.0007520328217709344
22,0.8,98015,98016,0.0007021039583037909
22,0.8,98015,98017,0.00043069103883930967
22,0.8,98015,98018,0.001490744448442343
22,0.8,98015,98019,0.0004103858316203199
22,0.8,98016,98017,0.0007291995240089344
22,0.8,98016,98018,0.0019377053608799597
22,0.8,98016,98019,0.0008703336302304275
22,0.8,98017,98018,0.0012718974547746868
22,0.8,98017,98019,0.00023308892768449493
22,0.8,98018,98019,0.0011202868989959674
