N,n,seed_a,seed_b,d_l2
28,0.9,92000,92001,0.0003286944980662634
28,0.9,92000,92002,0.000736050875809275
28,0.9,92000,92003,0.0007172524508843822
28,0.9,92000,92004,0.000708624475555811
28,0.9,92000,92005,0.0013188647112369934
28,0.9,92000,92006,0.0002915299364689882
28,0.9,92000,92007,0.00046561440027453313
28,0.9,92000,92008,0.00014961579278930905
28,0.9,92000,92009,0.001729719916283003
28,0.9,92000,92010,0.00037787954718336645
28,0.9,92000,92011,0.000386003053364371
28,0.9,92000,92012,0.00041214247722118336
28,0.9,92000,92013,0.00034882447755776955
28,0.9,92000,92014,0.000521511915322865
28,0.9,92000,92015,0.0014090355037512281
28,0.9,92000,92016,0.0010070330782227987
28,0.9,92000,92017,0.0008040276078529158
28,0.9,92000,92018,0.0011883876431511354
28,0.9,92000,92019,0.0006910310106709056
28,0.9,92001,92002,0.0009551838975676561
28,0.9,92001,92003,0.0004945886566239323
28,0.9,92001,92004,0.0004739168684948383
28,0.9,92001,92005,0.0010598140516195169
28,0.9,92001,92006,0.00027778332640178503
28,0.9,92001,92007,0.00032006971881675246
28,0.9,92001,92008,0.0004244877992898502
28,0.9,92001,92009,0.0014770795152329894
28,0.9,92001,92010,0.00015991947866254757
28,0.9,92001,92011,0.00018205380225000203
28,0.9,92001,92012,0.00029638545149443106
28,0.9,92001,92013,0.00013762211104013022
28,0.9,92001,92014,0.00023591519223023028
28,0.9,92001,92015,0.001163078160523539
28,0.9,92001,92016,0.000733707019442625
28,0.9,92001,92017,0.0005598088943850969
28,0.9,92001,92018,0.0009224118416299326
28,0.9,92001,92019,0.00045525716559473376
28,0.9,92002,92003,0.0014229798057928944
28,0.9,92002,92004,0.0014094391334210957
28,0.9,92002,92005,0.0020043494006328523
28,0.9,92002,92006,0.0006958301685842538
28,0.9,92002,92007,0.000815111331176798
28,0.9,92002,92008,0.0006100041960678955
28,0.9,92002,92009,0.0024133250547296605
28,0.9,92002,92010,0.0009018579390683895
28,0.9,92002,92011,0.0010661181808508094
28,0.9,92002,92012,0.0007762511774322045
28,0.9,92002,92013,0.0009864307191191114
28,0.9,92002,92014,0.0011381353418192055
28,0.9,92002,92015,0.002107437683871948
28,0.9,92002,92016,0.0016792492124909919
28,0.9,92002,92017,0.0015016767873626553
28,0.9,92002,92018,0.0018655167800254926
28,0.9,92002,92019,0.0013872313582767252
28,0.9,92003,92004,8.066052021835254e-05
