N,n,seed_a,seed_b,d_l2
28,0.8,98000,98001,0.0006451089141072398
28,0.8,98000,98002,0.0007104180602785436
28,0.8,98000,98003,0.0010624064134250287
28,0.8,98000,98004,0.0008488709534059181
28,0.8,98000,98005,0.0008994902070652594
28,0.8,98000,98006,0.0010042914276058319
28,0.8,98000,98007,0.0007391757265592585
28,0.8,98000,98008,0.0012166960105603807
28,0.8,98000,98009,0.0002719066394726902
28,0.8,98000,98010,0.0015649827772857786
28,0.8,98000,98011,0.00046900921815005867
28,0.8,98000,98012,0.0006646772616846053
28,0.8,98000,98013,0.001126233766273736
28,0.8,98000,98014,0.000995129811832223
28,0.8,98000,98015,0.0010191065468164802
28,0.8,98000,98016,0.0003471612904753201
28,0.8,98000,98017,0.0003349474857526455
28,0.8,98000,98018,0.00026632496392491837
28,0.8,98000,98019,0.0012780798084839646
28,0.8,98001,98002,0.00017765749322593355
28,0.8,98001,98003,0.00048689036452073925
28,0.8,98001,98004,0.0014356662709017678
28,0.8,98001,98005,0.0003395240441230738
28,0.8,98001,98006,0.0004072632367832506
28,0.8,98001,98007,0.0012863126080187657
28,0.8,98001,98008,0.0018588250803517423
28,0.8,98001,98009,0.0007451904180237623
28,0.8,98001,98010,0.0009348304099966237
28,0.8,98001,98011,0.001091245299010158
28,0.8,98001,98012,0.00042208367861031374
28,0.8,98001,98013,0.0005422819970593432
28,0.8,98001,98014,0.000384551682112615
28,0.8,98001,98015,0.0016483033566945672
28,0.8,98001,98016,0.0008937469633161171
28,0.8,98001,98017,0.0004310630835358332
28,0.8,98001,98018,0.0007948332049920536
28,0.8,98001,98019,0.0019074346577914378
28,0.8,98002,98003,0.00036094570549750535
28,0.8,98002,98004,0.001435256340850978
28,0.8,98002,98005,0.0002134190974695996
28,0.8,98002,98006,0.00039555111116324154
28,0.8,98002,98007,0.0012720679502187524
28,0.8,98002,98008,0.001903903759995231
28,0.8,98002,98009,0.0007683630840592135
28,0.8,98002,98010,0.0009116230578787723
28,0.8,98002,98011,0.001168519783175278
28,0.8,98002,98012,0.0005549614919275966
28,0.8,98002,98013,0.0006111434879950039
28,0.8,98002,98014,0.00034719031718488994
28,0.8,98002,98015,0.0016729797435560182
28,0.8,98002,98016,0.0009074371699390244
28,0.8,98002,98017,0.0005246302661334263
28,0.8,98002,98018,0.0008061839589777458
28,0.8,98002,98019,0.001929223553201234
28,0.8,98003,98004,0.0017416084449899405
28,0.8,98003,98005,0.0002103569532236012
28,0.8,98003,98006,0.0003466889926484024
28,0.8,98003,98007,0.00156538721241211
28,0.8,98003,98008,0.0022392009963649344
28,0.8,98003,98009,0.001095039707441514
28,0.8,98003,98010,0.0006733108817080939
28,0.8,98003,98011,0.0015176291987323547
28,0.8,98003,98012,0.0008035768585836324
28,0.8,98003,98013,0.0005967421725980343
28,0.8,98003,98014,0.00026381876687350776
28,0.8,98003,98015,0.0019954621729605542
28,0.8,98003,98016,0.0012266283867276937
28,0.8,98003,98017,0.0008587695386656419
28,0.8,98003,98018,0.001130598294414608
28,0.8,98003,98019,0.0022495147797672176
28,0.8,98004,98005,0.0015942482536004375
28,0.8,98004,98006,0.001768811867759444
28,0.8,98004,98007,0.00022207769319399664
28,0.8,98004,98008,0.0006387111935978975
28,0.8,98004,98009,0.00076934419850702
28,0.8,98004,98010,0.002329498556802123
28,0.8,98004,98011,0.0006808881886284092
28,0.8,98004,98012,0.0014792629578788301
28,0.8,98004,98013,0.0019459334861050804
28,0.8,98004,98014,0.0017487930192147606
28,0.8,98004,98015,0.0003393805259460312
28,0.8,98004,98016,0.0005940128532862084
28,0.8,98004,98017,0.00114161082160358
28,0.8,98004,98018,0.0006461837960847641
28,0.8,98004,98019,0.0005384950828489964
28,0.8,98005,98006,0.00039795476035138977
28,0.8,98005,98007,0.0014316812983889264
28,0.8,98005,98008,0.0020874047388870264
28,0.8,98005,98009,0.0009619245209281073
28,0.8,98005,98010,0.0008022302437725974
28,0.8,98005,98011,0.0013635077778325877
28,0.8,98005,98012,0.0007182651578754629
28,0.8,98005,98013,0.0006114538324179573
28,0.8,98005,98014,0.0003117008346838264
28,0.8,98005,98015,0.0018463714337739526
28,0.8,98005,98016,0.0010913745012523669
28,0.8,98005,98017,0.0007283643810302178
28,0.8,98005,98018,0.000977948819826417
28,0.8,98005,98019,0.002101343066606836
28,0.8,98006,98007,0.001595767690389788
28,0.8,98006,98008,0.0021917069173154084
28,0.8,98006,98009,0.0010421189783363964
28,0.8,98006,98010,0.0005869806580931718
28,0.8,98006,98011,0.0014225594650883499
28,0.8,98006,98012,0.0005453156646392066
28,0.8,98006,98013,0.00031022414980033707
28,0.8,98006,98014,0.00010429814040542836
28,0.8,98006,98015,0.001982964082177754
28,0.8,98006,98016,0.001201757254504023
28,0.8,98006,98017,0.0007216064052472452
28,0.8,98006,98018,0.0011362240260983487
28,0.8,98006,98019,0.002239012158416879
28,0.8,98007,98008,0.000799505781205237
28,0.8,98007,98009,0.000613298000970984
28,0.8,98007,98010,0.002156954438840315
28,0.8,98007,98011,0.0006580574653282344
28,0.8,98007,98012,0.0013365873587371352
28,0.8,98007,98013,0.001791308241243371
28,0.8,98007,98014,0.0015768444754273594
28,0.8,98007,98015,0.0005052676068838888
28,0.8,98007,98016,0.0004373154055713496
28,0.8,98007,98017,0.000999444163536084
28,0.8,98007,98018,0.0005102579686530465
28,0.8,98007,98019,0.0007188138771506222
28,0.8,98008,98009,0.0011681973470574925
28,0.8,98008,98010,0.002761424919065028
28,0.8,98008,98011,0.0008100102350385253
28,0.8,98008,98012,0.001783663563059964
28,0.8,98008,98013,0.00231501831742209
28,0.8,98008,98014,0.0021901888065420766
28,0.8,98008,98015,0.0003193020156948508
