seed_a,seed_b,d_l2
72000,72001,0.0007348770860967619
72000,72002,0.0006254490874122993
72000,72003,0.0005922196740998736
72000,72004,0.0005790334656062235
72000,72000,0.015407430070697599
72000,72001,0.01546902347754844
72000,72002,0.01601235516576419
72000,72003,0.015658299614053194
72000,72004,0.014933537777821802
72000,72000,0.04076024578832067
72000,72001,0.037899226468285994
72000,72002,0.034837399573957525
72000,72003,0.03944680566740714
72000,72004,0.04110082354191077
72000,72000,0.02659084534646832
72000,72001,0.02512357454627638
72000,72002,0.025864309948614887
72000,72003,0.025513828505194763
72000,72004,0.024800530224534847
72000,72000,0.00426627178063284
72000,72001,0.005448860905058705
72000,72002,0.0039681123229849905
72000,72003,0.005302071675124818
72000,72004,0.004212820448296368
72000,72000,0.019680734176744066
72000,72001,0.019438318011332806
72000,72002,0.01820693015565635
72000,72003,0.018540728730969316
72000,72004,0.020741575159788906
72000,72000,0.002047115682970296
72000,72001,0.002370561035893217
72000,72002,0.0020806033196825264
72000,72003,0.0013185118866395117
72000,72004,0.0017024581541047103
72000,72000,0.016411299415102023
72000,72001,0.016478558348588353
72000,72002,0.015801672104913705
72000,72003,0.016719694315623475
72000,72004,0.015886211654262808
72001,72002,0.00011234763691563005
72001,72003,0.00014417791959458787
72001,72004,0.00015977395423154132
72001,72000,0.015042052146881008
72001,72001,0.015101924624669576
72001,72002,0.015646208121105194
72001,72003,0.015292658163208057
72001,72004,0.014567430729448116
72001,72000,0.04004283608454237
72001,72001,0.03717966414681281
72001,72002,0.03412486900826898
72001,72003,0.03873118118278039
72001,72004,0.04038466528924299
72001,72000,0.025907615470366123
72001,72001,0.02443968918108091
72001,72002,0.02518609037597122
72001,72003,0.02483875123171337
72001,72004,0.024127360113164596
72001,72000,0.003670046458528432
72001,72001,0.004900676260465167
72001,72002,0.003388592599012871
72001,72003,0.00470532118693046
72001,72004,0.003588154562150556
72001,72000,0.019074310515333873
72001,72001,0.018835531215439807
72001,72002,0.017602975877258085
72001,72003,0.01793929681429813
72001,72004,0.02012391220553444
72001,72000,0.0013423668094003206
72001,72001,0.001682857592807737
72001,72002,0.001383535623321751
72001,72003,0.0006660988049222327
72001,72004,0.0010257056435062513
72001,72000,0.015923500647618192
72001,72001,0.015990046212363704
72001,72002,0.015311281800124957
72001,72003,0.016220109131510313
72001,72004,0.01540072557435765
72002,72003,4.4144510072422e-05
72002,72004,6.456721546325394e-05
72002,72000,0.01508867530956498
72002,72001,0.015148819507170081
72002,72002,0.01569303537043996
72002,72003,0.01533926915733709
72002,72004,0.014614081367567726
72002,72000,0.04015015229892698
72002,72001,0.0372871079597229
72002,72002,0.03423122940654498
72002,72003,0.03883811896588956
72002,72004,0.04049170502233671
72002,72000,0.02600832054116659
72002,72001,0.024540501648658293
72002,72002,0.025286225265464538
72002,72003,0.024938110934510965
72002,72004,0.024226431944394826
72002,72000,0.0037585280104772867
72002,72001,0.004981623714022153
72002,72002,0.0034740578996817644
72002,72003,0.00479443405978095
72002,72004,0.0036820808125886213
72002,72000,0.019161261984098982
72002,72001,0.018922054738502964
72002,72002,0.017689160805512485
72002,72003,0.018025142189848027
72002,72004,0.020212941879547638
72002,72000,0.001448351224945876
72002,72001,0.0017862612268779118
72002,72002,0.0014880334422638945
72002,72003,0.0007579212900897455
72002,72004,0.0011256655304488123
72002,72000,0.015990196243534857
72002,72001,0.016056932143350567
72002,72002,0.01537837609846732
72002,72003,0.01628893242170218
72002,72004,0.015466966828362658
72003,72004,3.3298218111452814e-05
72003,72000,0.0151027160284979
72003,72001,0.015162968059968607
72003,72002,0.01570714747324505
72003,72003,0.015353475293037407
72003,72004,0.014628211097446877
72003,72000,0.04018011193065289
72003,72001,0.03731765730880709
72003,72002,0.034261000222649725
72003,72003,0.038868088710677526
72003,72004,0.04052170671709582
72003,72000,0.026036646557777515
72003,72001,0.024568897774810184
72003,72002,0.025313789639806458
72003,72003,0.02496584737182607
72003,72004,0.024254032511660546
72003,72000,0.003774037634049582
72003,72001,0.004994209859588046
72003,72002,0.0034880346398131804
72003,72003,0.004810247871242223
72003,72004,0.003699053804339967
72003,72000,0.01918595204584389
72003,72001,0.018946293675883186
72003,72002,0.01771414316847912
72003,72003,0.01804984441756002
