N,n,seed,core_edges_count,core_events_count,halo_edges_count,halo_events_count,ball_comp_size,Q_clock,L,S_perc,S_junc_w,trace_enabled,bins_logged
34,0.85,120000,53227,36296,429557,37526,36295,6.340452596684824,1.0873786494945936,0.9892280071813285,7.199606512074816,False,0
34,0.85,120001,59217,38882,423582,35192,38880,6.223338412877107,1.0672937326714502,0.9902152641878669,8.27928748658782,False,0
34,0.85,120002,48717,33700,434108,40098,33699,6.467607960768946,1.109185614528301,0.9881422924901185,8.27973884573964,False,0
34,0.85,120003,50977,35714,431852,38531,35712,6.5966231185584165,1.1313115315511326,0.9886578449905482,7.631914812916416,False,0
34,0.85,120004,46479,33186,436301,40774,33185,6.527550611057193,1.1194656942424275,0.9869158878504672,7.295410641890569,False,0
34,0.85,120005,66687,38044,416122,35720,38042,6.4017384471773475,1.0978890861433166,0.98559670781893,8.556336242360885,False,0
34,0.85,120006,53222,36357,429664,37468,36357,6.648616085284839,1.1402282517820757,0.9925093632958801,7.952549429051938,False,0
34,0.85,120007,59972,39671,422849,34100,39669,6.476472026573724,1.1107057892724306,0.9889867841409692,8.943731591848211,False,0
34,0.85,120008,47231,33491,435591,40552,33489,6.173462384802842,1.0587400644241858,0.9894736842105263,7.138605412231422,False,0
34,0.85,120009,50233,35617,432588,39031,35616,6.314936584985988,1.0830026895897633,0.9942748091603053,7.8592554552115725,False,0
34,0.85,120010,60720,38469,422072,35248,38468,6.281449008758524,1.0772596176469014,0.9869402985074627,7.493552797009855,False,0
34,0.85,120011,57727,39022,425136,34794,39020,6.376657978393,1.0935878212320902,0.9867674858223062,7.537453447671581,False,0
34,0.85,120012,65947,37585,416810,35779,37584,6.287114188645763,1.0782311879821407,0.9818181818181818,8.160549026140137,False,0
34,0.85,120013,49486,35363,433310,38787,35359,6.453155274131588,1.1067069992184861,0.981651376146789,7.648029861944765,False,0
34,0.85,120014,56969,37068,425815,36536,37066,6.3583649232909085,1.0904505881641475,0.9944029850746269,7.475540593279711,False,0
34,0.85,120015,57708,36945,425014,36876,36940,6.278210455994178,1.0767042104299067,0.9846153846153847,7.552326812006481,False,0
34,0.85,120016,56971,37256,425864,36956,37255,6.582462532354952,1.12888301105245,0.9902723735408561,8.118234199840337,False,0
34,0.85,120017,56979,38248,425795,35603,38247,6.446830731150024,1.1056223490454749,0.9865384615384616,7.496055454887918,False,0
34,0.85,120018,54721,37701,428122,36123,37699,6.284356731105168,1.0777582879153382,0.9862475442043221,8.004465767973016,False,0
34,0.85,120019,66720,39964,416066,33737,39956,6.641765683367592,1.1390534175456104,0.9942857142857143,8.487095476755892,False,0
35,0.85,120000,56966,38052,440127,38092,38050,6.4229790853179205,1.0856816203977433,0.9963570127504554,7.543815982950779,False,0
35,0.85,120001,44981,32258,451989,43812,32258,6.551629484977632,1.1074275069267292,0.9853211009174312,7.524548184486447,False,0
35,0.85,120002,50974,35253,446041,40568,35252,6.588019931438675,1.113578615058333,0.9806201550387597,7.720804596914971,False,0
35,0.85,120003,47236,33298,449891,42674,33297,6.619672949802733,1.11892895168741,0.9853479853479854,7.604021435316539,False,0
35,0.85,120004,41238,31119,455788,44880,31118,6.6128819938965675,1.117781070631856,0.996309963099631,7.948918162780073,False,0
35,0.85,120005,37496,28993,459608,46798,28991,6.417097564378858,1.0846874619085585,0.989247311827957,7.375214877508474,False,0
35,0.85,120006,47236,34407,449864,41669,34404,6.662862807891539,1.126229370152385,0.9923076923076923,8.584179325338074,False,0
35,0.85,120007,41987,31061,455046,45276,31060,6.500428473104634,1.0987729563205553,0.984313725490196,8.234114585850874,False,0
35,0.85,120008,46476,32908,450537,42997,32906,6.225147352125414,1.0522419541921506,0.986159169550173,7.299710719531045,False,0
35,0.85,120009,49491,34492,447658,42032,34490,6.217204831395846,1.0508994231545778,0.9813780260707635,7.602467166389377,False,0
35,0.85,120010,40493,30850,456609,45002,30848,6.4101033960225635,1.0835052316796365,0.9907749077490775,7.900226905987872,False,0
35,0.85,120011,42740,31895,454399,44119,31894,6.697981571687247,1.1321655246809348,0.9944341372912802,7.536540279035494,False,0
35,0.85,120012,43489,31958,453573,43703,31956,6.537928650486781,1.1051116432140742,0.980544747081712,8.175389643623932,False,0
35,0.85,120013,44979,33023,452025,42821,33021,6.386414002609006,1.0795009933525552,0.9852125693160814,7.953872048632235,False,0
35,0.85,120014,47236,34429,449826,41545,34427,6.412217051690425,1.0838625046957815,0.9856115107913669,7.6148706779119,False,0
35,0.85,120015,45731,33352,451373,42615,33351,6.459360685433894,1.0918312332241125,0.9834254143646409,7.386725323884356,False,0
35,0.85,120016,38998,29905,458065,46484,29901,6.437344877997357,1.088109882558858,0.9925373134328358,8.086620140804753,False,0
