N,n,seed_a,seed_b,d_l2
12,0.65,110000,110001,0.001289351179074346
12,0.65,110000,110002,0.0029791468365390796
12,0.65,110000,110003,0.0010192702426279512
12,0.65,110000,110004,0.0027761857068741287
12,0.65,110000,110005,0.0022245839811403595
12,0.65,110000,110006,0.002153093352244077
12,0.65,110000,110007,0.0021324521048224627
12,0.65,110000,110008,0.0017540520277065067
12,0.65,110000,110009,0.00207504772546483
12,0.65,110000,110010,0.00289210059574313
12,0.65,110000,110011,0.003090891783334916
12,0.65,110000,110012,0.0030265161279610727
12,0.65,110000,110013,0.0015554556078223748
12,0.65,110000,110014,0.001027911829770159
12,0.65,110000,110015,0.002611845243550332
12,0.65,110000,110016,0.0009394899966037655
12,0.65,110000,110017,0.001487520592553545
12,0.65,110000,110018,0.0013068136500951788
12,0.65,110000,110019,0.002671985107167242
12,0.65,110001,110002,0.0018862209670348817
12,0.65,110001,110003,0.00029864812465876605
12,0.65,110001,110004,0.0016144951542066098
12,0.65,110001,110005,0.0009562453643192354
12,0.65,110001,110006,0.0009197038181807126
12,0.65,110001,110007,0.00103698000991305
12,0.65,110001,110008,0.0006615050503113472
12,0.65,110001,110009,0.0007971251285581026
12,0.65,110001,110010,0.0017556494319049879
12,0.65,110001,110011,0.0019056174023395307
12,0.65,110001,110012,0.0018769139426690524
12,0.65,110001,110013,0.0002849218210566834
12,0.65,110001,110014,0.00042050068873709966
12,0.65,110001,110015,0.001397748856835126
12,0.65,110001,110016,0.0011875040268779476
12,0.65,110001,110017,0.00034674816082797206
12,0.65,110001,110018,0.00018966167616130475
12,0.65,110001,110019,0.0014177225766685176
12,0.65,110002,110003,0.002068355220848052
12,0.65,110002,110004,0.0003555916641707233
12,0.65,110002,110005,0.0012675126972898387
12,0.65,110002,110006,0.0010665682447279603
12,0.65,110002,110007,0.0008689837422588591
12,0.65,110002,110008,0.0012581755187019352
12,0.65,110002,110009,0.0013893046798890266
12,0.65,110002,110010,0.00022369903700429836
12,0.65,110002,110011,0.0004121766899408118
12,0.65,110002,110012,0.0002467366470124372
12,0.65,110002,110013,0.0017397616406583658
12,0.65,110002,110014,0.002300821254882792
12,0.65,110002,110015,0.0006905571995418617
12,0.65,110002,110016,0.003043939382612169
12,0.65,110002,110017,0.00197710215257183
12,0.65,110002,110018,0.0017947806691592956
12,0.65,110002,110019,0.0008537805508813682
12,0.65,110003,110004,0.0018241645576742875
12,0.65,110003,110005,0.00124183703415311
12,0.65,110003,110006,0.0011711823072969342
12,0.65,110003,110007,0.001207899669424431
12,0.65,110003,110008,0.0008220020934261243
12,0.65,110003,110009,0.0010871379759792145
12,0.65,110003,110010,0.001954851782663137
12,0.65,110003,110011,0.0021289905903547728
12,0.65,110003,110012,0.0020831518927548506
12,0.65,110003,110013,0.00058042629076644
12,0.65,110003,110014,0.000377750533649447
12,0.65,110003,110015,0.0016383346183268877
12,0.65,110003,110016,0.0010795771668563412
12,0.65,110003,110017,0.0005956395201642448
12,0.65,110003,110018,0.0003276659376067559
12,0.65,110003,110019,0.0016799721087768242
12,0.65,110004,110005,0.0009313918289785303
12,0.65,110004,110006,0.000755362388257686
12,0.65,110004,110007,0.000659983669502654
12,0.65,110004,110008,0.00102869773800703
12,0.65,110004,110009,0.0010562776298009837
12,0.65,110004,110010,0.00018185797277700376
12,0.65,110004,110011,0.00033636845024729905
12,0.65,110004,110012,0.00027370080641585384
12,0.65,110004,110013,0.0014421742519563254
12,0.65,110004,110014,0.002025113525053896
12,0.65,110004,110015,0.0003592875959967227
12,0.65,110004,110016,0.002766593787747097
12,0.65,110004,110017,0.001669109549692879
12,0.65,110004,110018,0.0015379668268685413
12,0.65,110004,110019,0.0005177339840303194
12,0.65,110005,110006,0.00031736818270785395
12,0.65,110005,110007,0.0007383842814905748
12,0.65,110005,110008,0.0007296537350301177
12,0.65,110005,110009,0.00018499797910985583
12,0.65,110005,110010,0.0010896225151475526
12,0.65,110005,110011,0.0011308916369640707
12,0.65,110005,110012,0.0011682391316159954
12,0.65,110005,110013,0.0007001244844435981
12,0.65,110005,110014,0.001296245920457658
12,0.65,110005,110015,0.0006136694162133952
12,0.65,110005,110016,0.0019860462154532967
12,0.65,110005,110017,0.0008599798102688755
12,0.65,110005,110018,0.0009546557945145999
12,0.65,110005,110019,0.0005390557133064679
12,0.65,110006,110007,0.0004309595144691878
12,0.65,110006,110008,0.0004899221993373208
12,0.65,110006,110009,0.0003715479646279958
12,0.65,110006,110010,0.0009167576599315268
