n,Nk_est,N_bracket_low,N_bracket_high,phi_low,phi_high,phi_low_sd,phi_high_sd,Nk_note
0.65,10.562542202524941,10,11,0.5861261763447413,0.4330244606722665,0.03316553893154866,0.04233580221461815,linear interp of Phi means
0.7,13.255885863054694,13,14,0.5295543378236839,0.41405621115551866,0.04302702801805125,0.030286203842983975,linear interp of Phi means
0.75,17.406276734491055,17,18,0.5449323653527895,0.434336897933085,0.03354305734783204,0.03604683868614143,linear interp of Phi means
0.8,23.34667562927727,23,24,0.5297504521174065,0.4439340589102223,0.035396935215373355,0.03389580320176703,linear interp of Phi means
0.85,33.99656723359169,32,34,0.644053206667583,0.4997523243893127,0.03290150509322874,0.027438848027009632,linear interp of Phi means
0.9,55.367322273172306,54,56,0.5606457771405176,0.4719384133676534,0.0402638335613072,0.030732177074876816,linear interp of Phi means
