n,Nk_point,Nk_ci_lo,Nk_ci_hi,Nk_defined_frac,N_bracket_low,N_bracket_high
0.65,10.562542202524941,10.523078058609885,10.600985917367922,1.0,10,11
0.7,13.255885863054694,13.186241811472026,13.310843268364073,1.0,13,14
0.75,17.406276734491055,17.359760969567922,17.451966878162136,1.0,17,18
0.8,23.34667562927727,23.284855312379026,23.402834962685542,1.0,23,24
0.85,33.99656723359169,33.915730304901636,34.07669113192597,1.0,32,34
0.9,55.367322273172306,55.25601988946592,55.470688647007556,1.0,54,56
