N,seeds,phi_mean,phi_sd,p_lowQ,n_lowQ,Q_mean,Q_sd,Q_high_mean,Q_high_sd,core_events_mean,halo_events_mean,core_edges_mean,halo_edges_mean
22,20.0,0.6436645857030622,0.043502928270544715,0.0,0.0,5.2018625651764605,0.1377884759622382,5.2018625651764605,0.1377884759622382,40921.25,22655.1,76913.8,235704.75
23,20.0,0.5177119428470591,0.03383027868310469,0.25,5.0,4.043184649142043,2.1484664803304425,5.2492361703795245,0.08265682105906114,34370.2,32022.25,53032.55,273824.5
24,20.0,0.45418697807365016,0.04550677655500834,0.05,1.0,5.055634107896571,1.0903000637056213,5.284977478470386,0.37998138342358717,31469.15,37831.2,44533.15,296579.1
28,20.0,0.27013486736437275,0.021388301879675362,0.15,3.0,5.041997578844899,1.9000574207754308,5.815733458036074,0.15248380993275262,21838.4,59005.5,25910.55,372202.1
