N,pairs,d_l2_mean,d_l2_sd,d_l2_p50,d_l2_p90,d_l2_max
22,190,0.001071416556914303,0.0006192920752353986,0.0009019845687204,0.0020079433996285498,0.0027764692830482
23,190,0.0013202653098855306,0.0009037130305963645,0.0010138123050008499,0.0025117430490341594,0.004308728992253
24,190,0.0012096759127823143,0.0006691592538694346,0.0011698574551191,0.00221852764029085,0.0030738877971433
28,190,0.0010535555214523274,0.0006136772387991503,0.0009357494144822,0.0019731599280411196,0.0028083259933328
