N,n,seed_a,seed_b,d_l2
11,0.65,110000,110001,0.0007404553286304954
11,0.65,110000,110002,0.0024013802166962285
11,0.65,110000,110003,0.0005550506730786175
11,0.65,110000,110004,0.0014813739884768258
11,0.65,110000,110005,0.002501944067535654
11,0.65,110000,110006,0.000406468229169117
11,0.65,110000,110007,0.0020092945911458233
11,0.65,110000,110008,0.0012551151782651318
11,0.65,110000,110009,0.0006365475118538703
11,0.65,110000,110010,0.0012146201364927776
11,0.65,110000,110011,0.0018946223743807528
11,0.65,110000,110012,0.0009349701548069015
11,0.65,110000,110013,0.0009091952539073709
11,0.65,110000,110014,0.0015396944536141268
11,0.65,110000,110015,0.0012313699463612376
11,0.65,110000,110016,0.0003624170619007787
11,0.65,110000,110017,0.00024543538226734366
11,0.65,110000,110018,0.0006788346873603211
11,0.65,110000,110019,0.0028256121507821232
11,0.65,110001,110002,0.003047087208353621
11,0.65,110001,110003,0.00023073151502432557
11,0.65,110001,110004,0.0019569512951025437
11,0.65,110001,110005,0.003163431651717509
11,0.65,110001,110006,0.0010740758784217365
11,0.65,110001,110007,0.0026713165195360834
11,0.65,110001,110008,0.0005408246593663382
11,0.65,110001,110009,0.0002826223953149352
11,0.65,110001,110010,0.0018516088133210765
11,0.65,110001,110011,0.0024071666423461074
11,0.65,110001,110012,0.00021672832626630918
11,0.65,110001,110013,0.0006833777582772954
11,0.65,110001,110014,0.0021822398704017293
11,0.65,110001,110015,0.0018591601857461668
11,0.65,110001,110016,0.0004996056159289351
11,0.65,110001,110017,0.0009034147894066973
11,0.65,110001,110018,0.0011567881888912995
11,0.65,110001,110019,0.0035321524130294407
11,0.65,110002,110003,0.002882251527426745
11,0.65,110002,110004,0.0012743081024496098
11,0.65,110002,110005,0.0004355177292253483
11,0.65,110002,110006,0.0020133961027681024
11,0.65,110002,110007,0.0005132868191831778
11,0.65,110002,110008,0.0035751307250739255
11,0.65,110002,110009,0.0028274634028703795
11,0.65,110002,110010,0.001205391357926817
11,0.65,110002,110011,0.0009307828719031463
11,0.65,110002,110012,0.003231903260403298
11,0.65,110002,110013,0.0027157635068729017
11,0.65,110002,110014,0.0008744484826377404
11,0.65,110002,110015,0.0011950763174597544
11,0.65,110002,110016,0.0025596824121420893
11,0.65,110002,110017,0.002224889417008028
11,0.65,110002,110018,0.0019096387302744162
11,0.65,110002,110019,0.0008542331115589844
11,0.65,110003,110004,0.001833509801530686
11,0.65,110003,110005,0.002982423834095213
11,0.65,110003,110006,0.0008895472769510305
11,0.65,110003,110007,0.0024939976584470694
11,0.65,110003,110008,0.0007317268819625103
11,0.65,110003,110009,0.0003209876789635638
11,0.65,110003,110010,0.0016835207577546665
11,0.65,110003,110011,0.0022845660128712002
11,0.65,110003,110012,0.00041951321710833033
11,0.65,110003,110013,0.0007067134190969163
11,0.65,110003,110014,0.0020129349528988246
11,0.65,110003,110015,0.0016941067728693095
11,0.65,110003,110016,0.00035310759076423134
11,0.65,110003,110017,0.0007052039012549135
11,0.65,110003,110018,0.0010191584057614893
11,0.65,110003,110019,0.0033398145715947463
11,0.65,110004,110005,0.001482745050756439
11,0.65,110004,110006,0.0011252256398490092
11,0.65,110004,110007,0.0010675664323550476
11,0.65,110004,110008,0.002458368639887485
11,0.65,110004,110009,0.0017129761813582617
11,0.65,110004,110010,0.0005866034870448004
11,0.65,110004,110011,0.00047758132537288947
11,0.65,110004,110012,0.002123082558193633
11,0.65,110004,110013,0.0015041065942141556
11,0.65,110004,110014,0.0006506568055326519
11,0.65,110004,110015,0.0005466481594000226
11,0.65,110004,110016,0.0014998393382096545
11,0.65,110004,110017,0.0013204421681929732
11,0.65,110004,110018,0.0008252282531405282
11,0.65,110004,110019,0.002004425791106013
11,0.65,110005,110006,0.0021151541958692403
11,0.65,110005,110007,0.0005077275346079099
11,0.65,110005,110008,0.0036915540727837696
11,0.65,110005,110009,0.0029682318707511496
11,0.65,110005,110010,0.0013267559439804858
11,0.65,110005,110011,0.0012170330650402388
11,0.65,110005,110012,0.0033560413236867507
11,0.65,110005,110013,0.002852085664975678
11,0.65,110005,110014,0.0010069669886617017
11,0.65,110005,110015,0.001324788162496052
11,0.65,110005,110016,0.0026680512013443607
11,0.65,110005,110017,0.002303558712845356
11,0.65,110005,110018,0.0020517185496844916
11,0.65,110005,110019,0.0006268838506303643
11,0.65,110006,110007,0.0016215426795671661
11,0.65,110006,110008,0.001607368733798626
11,0.65,110006,110009,0.0009119745366473997
11,0.65,110006,110010,0.000822837500876313
11,0.65,110006,110011,0.001529127981769948
