seed_a,seed_b,d_l2
74000,74001,0.00016478870844443945
74000,74002,0.0011103303750290825
74000,74003,0.000480665761583335
74000,74004,0.000812619662463919
74000,74000,0.0012825745256368083
74000,74001,0.0013277319620081294
74000,74002,0.0013459126546559585
74000,74003,0.0011252875918755314
74000,74004,0.0014914675650197168
74000,74000,0.003135471793857055
74000,74001,0.0018377273902455483
74000,74002,0.0037179825652575646
74000,74003,0.0021549823507468597
74000,74004,0.0031494162593138967
74000,74000,0.005302296471890417
74000,74001,0.007896913285758131
74000,74002,0.007653064015404959
74000,74003,0.0070889703141093436
74000,74004,0.00746487859669743
74000,74000,0.010311182612271942
74000,74001,0.010617323119760077
74000,74002,0.00941442616959159
74000,74003,0.009447512012899317
74000,74004,0.009946156447666948
74000,74000,0.010581933643824794
74000,74001,0.010957053008836386
74000,74002,0.008973647065781175
74000,74003,0.0115463326458894
74000,74004,0.010868094334563736
74000,74000,0.012191088666448425
74000,74001,0.012441515428086478
74000,74002,0.011112002040530871
74000,74003,0.012191569966006502
74000,74004,0.012812760177430566
74000,74000,0.013151933435753077
74000,74001,0.013410620713446151
74000,74002,0.012923428509371072
74000,74003,0.012785337988159031
74000,74004,0.012578278432902214
74001,74002,0.0011215747788888217
74001,74003,0.0005226940643152626
74001,74004,0.0008860609474584844
74001,74000,0.0012059835551018693
74001,74001,0.0012289804318491848
74001,74002,0.0012795204398136017
74001,74003,0.0010213964255617245
74001,74004,0.0014160478747448446
74001,74000,0.003036431522390868
74001,74001,0.0017051658356553698
74001,74002,0.0036282440415841078
74001,74003,0.0020236681878698782
74001,74004,0.003050206510718807
74001,74000,0.005247334547948257
74001,74001,0.007842988031760216
74001,74002,0.0076053022692422105
74001,74003,0.007039120001554207
74001,74004,0.007413223821620257
74001,74000,0.010266449501876117
74001,74001,0.010578343155589769
74001,74002,0.00938100307857788
74001,74003,0.009409651366595767
74001,74004,0.009907233181160855
74001,74000,0.010552061112923184
74001,74001,0.010923435766073002
74001,74002,0.008967976668969556
74001,74003,0.011508454970260271
74001,74004,0.01082561539847399
74001,74000,0.012164991790467535
74001,74001,0.012410479972082257
74001,74002,0.011084037007147265
74001,74003,0.012166268939715688
74001,74004,0.012778062168917543
74001,74000,0.013117288859313849
74001,74001,0.013374581464603835
74001,74002,0.01289110836952275
74001,74003,0.01275355312764127
74001,74004,0.012544859321226466
74002,74003,0.000649447895540127
74002,74004,0.0005052978598823127
74002,74000,0.0010575910354672096
74002,74001,0.0012614183268925907
74002,74002,0.0008543281309992906
74002,74003,0.0012480697731556774
74002,74004,0.001111266023990274
74002,74000,0.004036296312567752
74002,74001,0.002552101486347748
74002,74002,0.004655022294816888
74002,74003,0.002853100915693941
74002,74004,0.004048986716626625
74002,74000,0.006280988692126129
74002,74001,0.008918634699248938
74002,74002,0.008674491008009513
74002,74003,0.008100106054332744
74002,74004,0.00848715783328867
74002,74000,0.011367622446521463
74002,74001,0.011680650839809964
74002,74002,0.010467825670526863
74002,74003,0.010503327894770438
74002,74004,0.01100261141217318
74002,74000,0.011652928337955315
74002,74001,0.012029342493793744
74002,74002,0.009998522714820624
